ingredient_substitutions_id,ingredient_id,substitute_id,created_id,created_at,updated_id,updated_at
11,122,123,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
12,131,132,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
20,142,147,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
31,170,169,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
35,205,207,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
36,206,207,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
37,207,205,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
38,235,252,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
39,238,269,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
40,245,220,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
41,247,219,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
42,248,174,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
43,252,268,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
44,262,273,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
45,268,252,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
46,273,262,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
47,292,293,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
48,293,292,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
49,294,292,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
50,301,300,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
51,326,323,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
52,327,329,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
53,336,337,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
54,337,336,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
55,340,397,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
56,363,325,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
58,397,340,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
59,405,403,1,2014-11-10 18:10:48,1,2016-11-11 00:00:00
60,417,387,1,2014-12-02 13:51:10,1,2016-11-11 00:00:00
68,25,23,1,2015-04-16 13:20:12,1,2016-11-11 00:00:00
69,394,382,1,2015-04-24 16:03:00,1,2016-11-11 00:00:00
70,441,330,1,2015-05-08 13:08:54,1,2016-11-11 00:00:00
73,4,15,3,2016-12-06 13:14:47,3,2016-12-06 13:14:47
74,5,15,3,2016-12-06 13:30:35,3,2016-12-06 13:30:35
75,6,15,3,2016-12-06 13:35:28,3,2016-12-06 13:35:28
78,16,30,3,2016-12-06 14:04:01,3,2016-12-06 14:04:01
79,37,88,3,2016-12-06 15:15:23,3,2016-12-06 15:15:23
80,79,270,3,2016-12-07 12:12:59,3,2016-12-07 12:12:59
81,80,76,3,2016-12-07 12:14:40,3,2016-12-07 12:14:40
82,132,146,3,2016-12-07 14:42:01,3,2016-12-07 14:42:01
83,133,146,3,2016-12-07 14:44:14,3,2016-12-07 14:44:14
84,135,146,3,2016-12-07 14:51:38,3,2016-12-07 14:51:38
88,150,143,3,2016-12-07 15:16:31,3,2016-12-07 15:16:31
89,154,147,3,2016-12-08 09:44:23,3,2016-12-08 09:44:23
91,156,147,3,2016-12-08 09:46:10,3,2016-12-08 09:46:10
93,159,143,3,2016-12-08 09:52:11,3,2016-12-08 09:52:11
95,161,143,3,2016-12-08 09:53:49,3,2016-12-08 09:53:49
96,171,237,3,2016-12-08 10:18:24,3,2016-12-08 10:18:24
98,197,259,9,2017-05-25 09:53:44,9,2017-05-25 09:53:44
99,10,15,11,2017-09-05 13:42:48,11,2017-09-05 13:42:48
100,10,5,11,2017-09-05 13:42:48,11,2017-09-05 13:42:48
101,158,143,1,2017-09-19 13:08:52,1,2017-09-19 13:08:52
102,141,147,12,2017-09-20 17:00:04,12,2017-09-20 17:00:04
103,144,147,12,2017-09-20 17:18:52,12,2017-09-20 17:18:52
104,155,147,12,2017-09-20 17:27:25,12,2017-09-20 17:27:25
105,435,323,12,2017-09-21 16:54:43,12,2017-09-21 16:54:43
106,178,237,12,2017-09-22 11:05:01,12,2017-09-22 11:05:01
107,139,147,12,2017-09-25 11:43:35,12,2017-09-25 11:43:35
108,140,147,11,2017-12-07 14:21:58,11,2017-12-07 14:21:58
110,143,147,11,2017-12-22 15:35:49,11,2017-12-22 15:35:49
111,15,4,11,2017-12-27 10:06:52,11,2017-12-27 10:06:52
112,160,143,12,2018-01-20 21:25:08,12,2018-01-20 21:25:08
113,137,132,5,2018-04-18 16:27:43,5,2018-04-18 16:27:43
