occupation_matrix_id,classification_id,resource_id,created_id,created_at,updated_id,updated_at
1,1,3,1,2014-04-10 00:00:00,1,2016-12-20 17:39:36
2,2,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
3,3,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
4,4,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
5,5,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
6,6,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
7,7,4,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
8,8,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
9,9,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
10,10,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
11,11,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
12,12,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
13,13,1,1,2017-10-24 18:10:40.023,1,2017-10-24 18:10:40.023
