classification_id,classification_name,created_id,created_at,updated_id,updated_at
1,炒める,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
2,焼く,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
3,野菜カット,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
4,肉魚下処理,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
5,その他手作業,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
6,レンジ,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
7,グリルする,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
8,寝かせる,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
9,煮る,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
10,茹でる,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
11,蒸す,1,2014-04-10 00:00:00,1,2014-11-10 17:12:39
12,揚げる,1,2014-11-10 17:12:47,1,2014-11-10 17:12:50
13,米下処理,1,2017-10-24 18:10:40.023,1,2017-10-24 18:10:40.023
