quantity_id,quantity_name,quantity_type,created_id,created_at,updated_id,updated_at
1,適量,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
2,少々,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
3,一つまみ,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
4,小さじ,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
5,大さじ,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
6,ml,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
7,g,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
8,cm,1,1,2014-10-14 18:33:53,1,2014-11-10 17:21:35
9,カップ,1,1,2014-04-10 00:00:00,1,2014-11-10 17:21:41
10,片,1,1,2014-04-10 00:00:00,1,2014-11-10 17:21:44
11,枚,1,1,2014-04-10 00:00:00,1,2014-11-10 17:21:48
12,本,1,1,2014-04-10 00:00:00,1,2014-11-10 17:21:50
13,粒,1,1,2014-04-10 00:00:00,1,2014-11-10 17:21:53
14,株,1,1,2014-04-10 00:00:00,1,2014-11-10 17:21:58
15,丁,1,1,2014-04-10 00:00:00,1,2014-11-10 17:22:36
16,個,1,1,2014-04-10 00:00:00,1,2014-11-10 17:22:40
17,合,1,1,2014-04-10 00:00:00,1,2014-11-10 17:22:45
18,缶,1,1,2014-04-10 00:00:00,1,2014-11-10 17:24:15
19,切れ,1,1,2014-04-10 00:00:00,1,2014-11-10 17:24:19
20,把,1,1,2014-04-10 00:00:00,1,2014-11-10 17:24:25
21,杯,1,1,2014-04-10 00:00:00,1,2014-11-10 17:24:28
22,尾,1,1,2014-11-10 17:23:49,1,2014-10-14 18:31:54
23,玉,1,1,2014-11-10 17:25:04,1,2014-10-14 18:31:54
24,柵,1,1,2014-11-10 17:25:29,1,2014-10-14 18:31:54
25,P,1,1,2014-11-10 17:26:17,1,2014-11-10 17:25:58
