rice_nutrition_id,course_id,kcal,protein,lipid,carbohydrate,created_id,created_at,updated_id,updated_at
1,1,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
2,2,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
3,3,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
4,4,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
5,5,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
6,8,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
7,9,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
8,10,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
9,11,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
10,12,170,2.52,0.3,37.51,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
11,13,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
12,14,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
13,15,252,3.8,0.5,55.7,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
